Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Company_Type,Release_Era,Is_Successful,Sales_Category,NA_Sales_Pct,EU_Sales_Pct,JP_Sales_Pct,Other_Sales_Pct
Mobile Suit Gundam: Journey to Jaburo,PS2,2000.0,Simulation,Namco Bandai Games,0.16,0.13,0.36,0.04,0.7,58.0,16.0,8.1,49.0,Bandai,T,Indie/Other,2000s,False,below average,22.857142857142858,18.571428571428573,51.42857142857144,5.714285714285714
MLB 08: The Show,PS3,2008.0,Sports,Sony Computer Entertainment,0.64,0.0,0.0,0.05,0.7,85.0,33.0,8.7,76.0,SCEA San Diego Studios,E,AAA,2000s,False,below average,91.42857142857143,0.0,0.0,7.142857142857144
TimeSplitters 2,PS2,2002.0,Shooter,Eidos Interactive,0.34,0.27,0.0,0.09,0.7,90.0,33.0,8.8,127.0,Free Radical Design,T,Indie/Other,2000s,False,below average,48.57142857142858,38.57142857142858,0.0,12.85714285714286
Omerta: City of Gangsters,X360,2011.0,Simulation,Konami Digital Entertainment,0.42,0.22,0.0,0.06,0.7,43.0,18.0,3.3,25.0,Kalypso,T,AAA,2010s,False,below average,60.0,31.428571428571434,0.0,8.571428571428571
Driver: San Francisco,X360,2011.0,Racing,Ubisoft,0.25,0.37,0.0,0.07,0.7,80.0,63.0,7.6,130.0,Ubisoft Reflections,T,AAA,2010s,False,below average,35.714285714285715,52.85714285714286,0.0,10.000000000000002
Classic NES Series: Zelda II: The Adventure of Link,GBA,2004.0,Adventure,Nintendo,0.37,0.14,0.17,0.01,0.7,73.0,8.0,7.5,39.0,Nintendo,E,AAA,2000s,False,below average,52.85714285714286,20.000000000000004,24.28571428571429,1.4285714285714286
Fire Emblem: Monsh? no Nazo,SNES,1994.0,Role-Playing,Nintendo,0.0,0.0,0.7,0.0,0.7,69.5,,,,,,AAA,1990s,False,below average,0.0,0.0,100.0,0.0
Disney's Chicken Little,GBA,2005.0,Platform,Disney Interactive Studios,0.5,0.18,0.0,0.01,0.7,71.0,6.0,tbd,,Artificial Mind and Movement,E,Indie/Other,2000s,False,below average,71.42857142857143,25.71428571428572,0.0,1.4285714285714286
James Bond 007: Blood Stone,PS3,2010.0,Shooter,Activision,0.18,0.36,0.02,0.13,0.7,65.0,49.0,7.4,45.0,Bizarre Creations,T,AAA,2010s,False,below average,25.71428571428572,51.42857142857144,2.857142857142857,18.571428571428573
King Kong,2600,1981.0,Action,Tigervision,0.65,0.04,0.0,0.01,0.69,69.5,,,,,,Indie/Other,1980s,False,below average,94.20289855072464,5.797101449275363,0.0,1.4492753623188408
Minecraft: Story Mode,PS4,2015.0,Adventure,Mojang,0.25,0.33,0.0,0.11,0.69,72.0,,,,,,Indie/Other,2010s,False,below average,36.23188405797102,47.82608695652175,0.0,15.942028985507248
Moto Racer 2,PS,1997.0,Racing,Electronic Arts,0.39,0.26,0.0,0.05,0.69,69.0,,,,,,AAA,1990s,False,below average,56.52173913043479,37.68115942028986,0.0,7.246376811594205
Metal Gear Solid: Portable Ops Plus,PSP,2007.0,Action,Konami Digital Entertainment,0.26,0.0,0.26,0.17,0.69,65.0,19.0,7.5,27.0,Kojima Productions,T,AAA,2000s,False,below average,37.68115942028986,0.0,37.68115942028986,24.637681159420293
LEGO Rock Band,Wii,2009.0,Misc,Warner Bros. Interactive Entertainment,0.41,0.22,0.0,0.06,0.69,70.0,15.0,6.8,6.0,TT Fusion,E10+,Indie/Other,2000s,False,below average,59.42028985507246,31.884057971014496,0.0,8.695652173913043
Monster Hunter Tri,WiiU,2012.0,Role-Playing,Nintendo,0.24,0.19,0.22,0.04,0.69,79.5,,,,,,AAA,2010s,False,below average,34.78260869565217,27.536231884057973,31.884057971014496,5.797101449275363
Halo 2 Multiplayer Map Pack,XB,2005.0,Shooter,Microsoft Game Studios,0.54,0.13,0.0,0.02,0.69,89.0,37.0,7.4,34.0,Bungie Software,M,AAA,2000s,False,below average,78.2608695652174,18.84057971014493,0.0,2.8985507246376816
Mortal Kombat: Shaolin Monks,PS2,2005.0,Action,Midway Games,0.58,0.02,0.0,0.09,0.69,77.0,41.0,8.6,74.0,Midway Studios - Los Angeles,M,Indie/Other,2000s,False,below average,84.05797101449275,2.8985507246376816,0.0,13.043478260869565
"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",PS3,2009.0,Shooter,Activision,0.28,0.3,0.0,0.12,0.69,72.0,,,,,,AAA,2000s,False,below average,40.579710144927546,43.47826086956522,0.0,17.391304347826086
Minecraft: Story Mode,PS3,2015.0,Adventure,Mojang,0.27,0.31,0.0,0.11,0.69,69.5,,,,,,Indie/Other,2010s,False,below average,39.1304347826087,44.92753623188406,0.0,15.942028985507248
FIFA Soccer 13,Wii,2012.0,Action,Electronic Arts,0.18,0.44,0.0,0.07,0.69,62.0,,1.6,21.0,Electronic Arts,E,AAA,2010s,False,below average,26.08695652173913,63.76811594202899,0.0,10.144927536231886
The LEGO Movie Videogame,3DS,2014.0,Action,Warner Bros. Interactive Entertainment,0.28,0.31,0.05,0.05,0.69,63.0,,5.4,13.0,TT Games,E10+,Indie/Other,2010s,False,below average,40.579710144927546,44.92753623188406,7.246376811594205,7.246376811594205
MotionSports,X360,2010.0,Sports,Ubisoft,0.38,0.25,0.0,0.06,0.69,40.0,30.0,4.4,9.0,Ubisoft Milan,T,AAA,2010s,False,below average,55.072463768115945,36.23188405797102,0.0,8.695652173913043
MX vs. ATV Unleashed: On the Edge,PSP,2006.0,Racing,THQ,0.64,0.0,0.0,0.05,0.69,68.0,22.0,8.1,7.0,Rainbow Studios,E,AAA,2000s,False,below average,92.75362318840581,0.0,0.0,7.246376811594205
Mario Pinball Land,GBA,2004.0,Misc,Nintendo,0.5,0.18,0.0,0.01,0.69,62.0,35.0,4.9,11.0,Fuse Games Limited,E,AAA,2000s,False,below average,72.46376811594205,26.08695652173913,0.0,1.4492753623188408
Mappy,NES,1984.0,Platform,Namco Bandai Games,0.0,0.0,0.69,0.0,0.69,69.5,,,,,,Indie/Other,1980s,False,below average,0.0,0.0,100.0,0.0
J-League Soccer: Prime Goal,SNES,1993.0,Sports,Namco Bandai Games,0.0,0.0,0.69,0.0,0.69,69.5,,,,,,Indie/Other,1990s,False,below average,0.0,0.0,100.0,0.0
Dragon Ball Z: Budokai,GC,2003.0,Fighting,Atari,0.53,0.14,0.0,0.02,0.69,65.0,16.0,6.3,15.0,Pyramid,T,Indie/Other,2000s,False,below average,76.81159420289856,20.289855072463773,0.0,2.8985507246376816
NFL Xtreme,PS,1998.0,Sports,Sony Computer Entertainment,0.38,0.26,0.0,0.05,0.69,73.0,,,,,,AAA,1990s,False,below average,55.072463768115945,37.68115942028986,0.0,7.246376811594205
Need for Speed (2015),XOne,2015.0,Racing,Electronic Arts,0.3,0.33,0.0,0.06,0.69,75.0,,,,,,AAA,2010s,False,below average,43.47826086956522,47.82608695652175,0.0,8.695652173913043
Plants vs. Zombies: Garden Warfare,XOne,2014.0,Shooter,Electronic Arts,0.39,0.23,0.0,0.06,0.69,76.0,65.0,7.4,438.0,PopCap,E10+,AAA,2010s,False,below average,56.52173913043479,33.333333333333336,0.0,8.695652173913043
Need for Speed Rivals,XOne,2013.0,Racing,Electronic Arts,0.46,0.17,0.0,0.07,0.69,75.0,18.0,5.8,175.0,Ghost Games,E10+,AAA,2010s,False,below average,66.66666666666667,24.637681159420293,0.0,10.144927536231886
The Sims 2: Apartment Pets,DS,2008.0,Simulation,Electronic Arts,0.31,0.3,0.0,0.07,0.69,50.0,12.0,3.3,4.0,Full Fat,E,AAA,2000s,False,below average,44.92753623188406,43.47826086956522,0.0,10.144927536231886
Harry Potter and the Chamber of Secrets,GC,2002.0,Action,Electronic Arts,0.53,0.14,0.0,0.02,0.69,77.0,14.0,8.3,27.0,Eurocom Entertainment Software,E,AAA,2000s,False,below average,76.81159420289856,20.289855072463773,0.0,2.8985507246376816
Prince of Persia: The Forgotten Sands,PS3,2010.0,Action,Ubisoft,0.19,0.36,0.01,0.12,0.69,75.0,49.0,7.6,120.0,Ubisoft Montreal,T,AAA,2010s,False,below average,27.536231884057973,52.17391304347826,1.4492753623188408,17.391304347826086
X-Men Origins: Wolverine - Uncaged Edition,X360,2009.0,Action,Activision,0.42,0.21,0.0,0.06,0.69,69.0,,,,,,AAA,2000s,False,below average,60.86956521739131,30.434782608695656,0.0,8.695652173913043
The Lord of the Rings: The Return of the King,GC,2003.0,Action,Electronic Arts,0.53,0.14,0.0,0.02,0.69,84.0,23.0,8.5,21.0,Hypnos Entertainment,T,AAA,2000s,False,below average,76.81159420289856,20.289855072463773,0.0,2.8985507246376816
The Sims: Medieval,PC,2011.0,Simulation,Electronic Arts,0.28,0.32,0.0,0.09,0.69,77.0,56.0,6.1,173.0,The Sims Studio,T,AAA,2010s,False,below average,40.579710144927546,46.376811594202906,0.0,13.043478260869565
LEGO Batman 2: DC Super Heroes,DS,2012.0,Action,Warner Bros. Interactive Entertainment,0.39,0.24,0.0,0.06,0.69,58.0,,8,4.0,TT Games,E10+,Indie/Other,2010s,False,below average,56.52173913043479,34.78260869565217,0.0,8.695652173913043
Top Spin 4,PS3,2011.0,Sports,Take-Two Interactive,0.17,0.39,0.0,0.13,0.69,82.0,37.0,7.7,55.0,2K Czech,E,AAA,2010s,False,below average,24.637681159420293,56.52173913043479,0.0,18.84057971014493
Shrek the Third,X360,2007.0,Action,Activision,0.54,0.09,0.0,0.06,0.68,69.0,,,,,,AAA,2000s,False,below average,79.41176470588235,13.235294117647056,0.0,8.823529411764705
Baldur's Gate: Dark Alliance II,PS2,2004.0,Role-Playing,Interplay,0.34,0.26,0.0,0.09,0.68,78.0,44.0,8.7,54.0,Black Isle Studios,T,Indie/Other,2000s,False,below average,50.0,38.23529411764706,0.0,13.235294117647056
Shark Tale,GBA,2004.0,Action,Activision,0.49,0.18,0.0,0.01,0.68,63.0,8.0,9,4.0,Vicarious Visions,E,AAA,2000s,False,below average,72.05882352941175,26.470588235294112,0.0,1.4705882352941175
IL-2 Sturmovik: Birds of Prey,PS3,2009.0,Simulation,505 Games,0.34,0.25,0.0,0.1,0.68,81.0,28.0,7.3,20.0,Gaijin Entertainment,T,Indie/Other,2000s,False,below average,50.0,36.764705882352935,0.0,14.705882352941178
Star Wars: Masters of Teras Kasi,PS,1997.0,Action,LucasArts,0.38,0.26,0.0,0.04,0.68,72.0,,,,,,Indie/Other,1990s,False,below average,55.88235294117647,38.23529411764706,0.0,5.88235294117647
World of Zoo,DS,2009.0,Simulation,THQ,0.42,0.2,0.0,0.06,0.68,65.5,,tbd,,Blue Fang Games,E,AAA,2000s,False,below average,61.764705882352935,29.411764705882355,0.0,8.823529411764705
NBA Street Vol. 2,XB,2003.0,Sports,Electronic Arts,0.62,0.04,0.0,0.02,0.68,89.0,22.0,8.8,24.0,Electronic Arts,E,AAA,2000s,False,below average,91.17647058823529,5.88235294117647,0.0,2.941176470588235
Minecraft,WiiU,2016.0,Misc,Microsoft Game Studios,0.28,0.17,0.18,0.04,0.68,69.0,,,,,,AAA,2010s,False,below average,41.1764705882353,25.0,26.470588235294112,5.88235294117647
MX vs. ATV Untamed,X360,2007.0,Racing,THQ,0.55,0.08,0.0,0.06,0.68,70.0,43.0,7.1,17.0,Rainbow Studios,E,AAA,2000s,False,below average,80.88235294117648,11.76470588235294,0.0,8.823529411764705
The Last Remnant,X360,2008.0,Role-Playing,Square Enix,0.25,0.2,0.18,0.06,0.68,66.0,49.0,6.9,122.0,Square Enix,M,AAA,2000s,False,below average,36.764705882352935,29.411764705882355,26.470588235294112,8.823529411764705
NCAA Football 2005,XB,2004.0,Sports,Electronic Arts,0.63,0.02,0.0,0.03,0.68,89.0,29.0,8,12.0,EA Sports,E,AAA,2000s,False,below average,92.6470588235294,2.941176470588235,0.0,4.411764705882352
Mortal Kombat Mythologies: Sub-Zero,PS,1997.0,Fighting,GT Interactive,0.38,0.26,0.0,0.04,0.68,69.0,,,,,,Indie/Other,1990s,False,below average,55.88235294117647,38.23529411764706,0.0,5.88235294117647
The Sly Collection,PS3,2010.0,Platform,Sony Computer Entertainment,0.52,0.08,0.01,0.08,0.68,85.0,46.0,8.8,172.0,Sanzaru Games,E10+,AAA,2010s,False,below average,76.47058823529412,11.76470588235294,1.4705882352941175,11.76470588235294
Naruto: Clash of Ninja,GC,2003.0,Fighting,Tomy Corporation,0.53,0.14,0.0,0.02,0.68,72.0,21.0,8.1,20.0,Tomy Corporation,T,Indie/Other,2000s,False,below average,77.94117647058823,20.58823529411765,0.0,2.941176470588235
Sniper Elite 3,PS4,2014.0,Shooter,505 Games,0.24,0.34,0.0,0.11,0.68,67.0,41.0,7.1,178.0,Rebellion,M,Indie/Other,2010s,False,below average,35.29411764705882,50.0,0.0,16.176470588235293
Prince of Persia: The Two Thrones,PS2,2005.0,Action,Ubisoft,0.57,0.02,0.0,0.09,0.68,85.0,46.0,8.5,111.0,Ubisoft Montreal,M,AAA,2000s,False,below average,83.8235294117647,2.941176470588235,0.0,13.235294117647056
Hot Shots Golf: Open Tee 2,PSP,2007.0,Sports,Sony Computer Entertainment,0.21,0.11,0.28,0.08,0.68,82.0,42.0,8.6,12.0,Clap Hanz,E,AAA,2000s,False,below average,30.882352941176467,16.176470588235293,41.1764705882353,11.76470588235294
Mercenaries: Playground of Destruction,XB,2005.0,Action,LucasArts,0.54,0.11,0.0,0.03,0.68,69.0,,,,,,Indie/Other,2000s,False,below average,79.41176470588235,16.176470588235293,0.0,4.411764705882352
Bushido Blade 2,PS,1998.0,Fighting,SquareSoft,0.25,0.17,0.22,0.04,0.68,69.0,,,,,,Indie/Other,1990s,False,below average,36.764705882352935,25.0,32.35294117647059,5.88235294117647
Suikoden II,PS,1998.0,Role-Playing,Konami Digital Entertainment,0.15,0.1,0.38,0.04,0.68,82.0,8.0,8.4,162.0,Konami,T,AAA,1990s,False,below average,22.05882352941176,14.705882352941178,55.88235294117647,5.88235294117647
Iron Man,PS3,2008.0,Action,Sega,0.32,0.25,0.0,0.11,0.68,42.0,27.0,6.2,45.0,Secret Level,T,AAA,2000s,False,below average,47.05882352941176,36.764705882352935,0.0,16.176470588235293
FIFA Soccer 06,XB,2005.0,Sports,Electronic Arts,0.29,0.38,0.0,0.01,0.68,80.0,39.0,7.5,22.0,EA Canada,E,AAA,2000s,False,below average,42.647058823529406,55.88235294117647,0.0,1.4705882352941175
Fight Night 2004,XB,2004.0,Fighting,Electronic Arts,0.51,0.15,0.0,0.02,0.68,85.0,47.0,8.7,20.0,EA Sports,T,AAA,2000s,False,below average,75.0,22.05882352941176,0.0,2.941176470588235
Tourist Trophy: The Real Riding Simulator,PS2,2006.0,Racing,Sony Computer Entertainment,0.28,0.22,0.11,0.07,0.68,68.0,,,,,,AAA,2000s,False,below average,41.1764705882353,32.35294117647059,16.176470588235293,10.294117647058824
.hack//Mutation Part 2,PS2,2002.0,Role-Playing,Atari,0.23,0.18,0.2,0.06,0.68,76.0,24.0,8.9,81.0,CyberConnect2,T,Indie/Other,2000s,False,below average,33.8235294117647,26.470588235294112,29.411764705882355,8.823529411764705
Wolfenstein: The New Order,XOne,2014.0,Shooter,Bethesda Softworks,0.34,0.28,0.0,0.06,0.68,79.0,18.0,7.8,397.0,MachineGames,M,Indie/Other,2010s,False,below average,50.0,41.1764705882353,0.0,8.823529411764705
Cars: Mater-National Championship,DS,2007.0,Racing,THQ,0.63,0.0,0.0,0.05,0.68,69.0,7.0,6.8,5.0,Rainbow Studios,E,AAA,2000s,False,below average,92.6470588235294,0.0,0.0,7.352941176470589
LEGO Harry Potter: Years 1-4,PSP,2010.0,Action,Warner Bros. Interactive Entertainment,0.14,0.36,0.0,0.18,0.68,71.0,4.0,tbd,,TT Fusion,E10+,Indie/Other,2010s,False,below average,20.58823529411765,52.941176470588225,0.0,26.470588235294112
Midway Arcade Treasures 2,PS2,2004.0,Misc,Midway Games,0.33,0.26,0.0,0.09,0.68,74.0,28.0,tbd,,Backbone Entertainment,M,Indie/Other,2000s,False,below average,48.529411764705884,38.23529411764706,0.0,13.235294117647056
Kirby's Dream Collection: Special Edition,Wii,2012.0,Action,Nintendo,0.33,0.0,0.33,0.02,0.67,82.0,6.0,8.8,37.0,HAL Labs,E10+,AAA,2010s,False,below average,49.25373134328358,0.0,49.25373134328358,2.9850746268656714
Return to Castle Wolfenstein: Tides of War,XB,2003.0,Shooter,Activision,0.49,0.16,0.0,0.02,0.67,84.0,38.0,8.8,33.0,Nerve Software,M,AAA,2000s,False,below average,73.13432835820895,23.88059701492537,0.0,2.9850746268656714
RIFT,PC,2011.0,Role-Playing,Unknown,0.44,0.16,0.0,0.07,0.67,84.0,59.0,7.3,561.0,Trion Worlds,T,Indie/Other,2010s,False,below average,65.67164179104478,23.88059701492537,0.0,10.447761194029852
Spider-Man 3,PS3,2007.0,Platform,Activision,0.26,0.29,0.02,0.11,0.67,60.0,33.0,7,40.0,Treyarch,T,AAA,2000s,False,below average,38.80597014925373,43.28358208955223,2.9850746268656714,16.417910447761194
Street Sk8er,PS,1998.0,Sports,Electronic Arts,0.37,0.25,0.0,0.04,0.67,73.0,,,,,,AAA,1990s,False,below average,55.22388059701492,37.31343283582089,0.0,5.970149253731343
Mass Effect,PC,2008.0,Role-Playing,Electronic Arts,0.0,0.59,0.0,0.08,0.67,89.0,45.0,8.6,2386.0,"BioWare, Demiurge Studios",M,AAA,2000s,False,below average,0.0,88.0597014925373,0.0,11.940298507462686
Contra: Legacy of War,PS,1996.0,Shooter,Konami Digital Entertainment,0.37,0.25,0.0,0.04,0.67,72.0,,,,,,AAA,1990s,False,below average,55.22388059701492,37.31343283582089,0.0,5.970149253731343
Fight Night Round 2004,XB,2004.0,Fighting,Electronic Arts,0.46,0.18,0.0,0.03,0.67,65.0,,,,,,AAA,2000s,False,below average,68.65671641791045,26.865671641791046,0.0,4.477611940298507
Book of Spells,PS3,2012.0,Action,Sony Computer Entertainment,0.14,0.39,0.0,0.15,0.67,71.0,,,,,,AAA,2010s,False,below average,20.895522388059703,58.2089552238806,0.0,22.388059701492537
Zaidan Houjin Nippon Kanji Nouryoko Kentei Kyoukai Kounin: KanKen DS,DS,2006.0,Misc,Rocket Company,0.0,0.0,0.67,0.0,0.67,66.5,,,,,,Indie/Other,2000s,False,below average,0.0,0.0,100.0,0.0
Spice World,PS,1998.0,Action,Sony Computer Entertainment,0.37,0.25,0.0,0.04,0.67,72.0,,,,,,AAA,1990s,False,below average,55.22388059701492,37.31343283582089,0.0,5.970149253731343
The Evil Within,XOne,2014.0,Action,Bethesda Softworks,0.35,0.25,0.0,0.06,0.67,79.0,24.0,7.3,430.0,Tango Gameworks,M,Indie/Other,2010s,False,below average,52.23880597014925,37.31343283582089,0.0,8.955223880597014
Armored Core 3,PS2,2002.0,Simulation,Metro 3D,0.22,0.17,0.23,0.06,0.67,74.0,23.0,9,33.0,From Software,T,Indie/Other,2000s,False,below average,32.83582089552239,25.37313432835821,34.32835820895522,8.955223880597014
Star Wars: Republic Commando,XB,2005.0,Shooter,Activision,0.48,0.17,0.0,0.02,0.67,78.0,54.0,8.9,89.0,LucasArts,T,AAA,2000s,False,below average,71.64179104477611,25.37313432835821,0.0,2.9850746268656714
Taiko no Tatsujin Wii,Wii,2008.0,Misc,Namco Bandai Games,0.0,0.0,0.67,0.0,0.67,64.0,,,,,,Indie/Other,2000s,False,below average,0.0,0.0,100.0,0.0
London 2012: The Official Video Game of the Olympic Games,PS3,2012.0,Sports,Sega,0.06,0.48,0.0,0.14,0.67,76.5,,,,,,AAA,2010s,False,below average,8.955223880597014,71.64179104477611,0.0,20.895522388059703
The LEGO Movie Videogame,PS4,2014.0,Action,Warner Bros. Interactive Entertainment,0.24,0.31,0.01,0.11,0.67,71.0,31.0,7.1,98.0,TT Games,E10+,Indie/Other,2010s,False,below average,35.82089552238806,46.26865671641791,1.4925373134328357,16.417910447761194
Turok,PS3,2008.0,Action,Touchstone,0.35,0.21,0.01,0.1,0.67,67.0,38.0,6,39.0,Propaganda Games,M,Indie/Other,2000s,False,below average,52.23880597014925,31.343283582089548,1.4925373134328357,14.925373134328357
Wild ARMs 2,PS,1999.0,Role-Playing,Sony Computer Entertainment,0.19,0.13,0.31,0.04,0.67,81.5,,,,,,AAA,1990s,False,below average,28.35820895522388,19.402985074626866,46.26865671641791,5.970149253731343
Terraria,X360,2013.0,Action,505 Games,0.35,0.27,0.0,0.06,0.67,81.0,39.0,7.2,139.0,Engine Software,T,Indie/Other,2010s,False,below average,52.23880597014925,40.298507462686565,0.0,8.955223880597014
Red Steel,Wii,2006.0,Shooter,Ubisoft,0.54,0.03,0.04,0.05,0.67,63.0,54.0,6.8,121.0,Ubisoft Paris,T,AAA,2000s,False,below average,80.59701492537313,4.477611940298507,5.970149253731343,7.462686567164178
Summer Sports: Paradise Island (Others sales),Wii,2008.0,Sports,Ubisoft,0.0,0.66,0.0,0.01,0.67,66.0,,,,,,AAA,2000s,False,below average,0.0,98.50746268656717,0.0,1.4925373134328357
Need for Speed: Shift 2 Unleashed,PS3,2011.0,Racing,Electronic Arts,0.2,0.35,0.0,0.12,0.67,73.0,,,,,,AAA,2010s,False,below average,29.850746268656714,52.23880597014925,0.0,17.91044776119403
The Fairly Odd Parents: Breakin Da Rules,PS2,2003.0,Platform,THQ,0.33,0.25,0.0,0.09,0.67,66.0,,,,,,AAA,2000s,False,below average,49.25373134328358,37.31343283582089,0.0,13.432835820895523
Virtua Tennis: World Tour (US & Others sales),PSP,2005.0,Sports,Sega,0.16,0.36,0.0,0.14,0.67,73.0,,,,,,AAA,2000s,False,below average,23.88059701492537,53.73134328358209,0.0,20.895522388059703
Unreal Tournament III,PS3,2007.0,Shooter,Midway Games,0.33,0.23,0.0,0.1,0.67,86.0,42.0,7.7,127.0,Epic Games,M,Indie/Other,2000s,False,below average,49.25373134328358,34.32835820895522,0.0,14.925373134328357
Adventures of Tron,2600,1981.0,Action,Mattel Interactive,0.63,0.03,0.0,0.01,0.67,69.5,,,,,,Indie/Other,1980s,False,below average,94.02985074626865,4.477611940298507,0.0,1.4925373134328357
Fossil Fighters: Champions,DS,2010.0,Role-Playing,Nintendo,0.31,0.0,0.34,0.02,0.67,68.0,8.0,7.1,11.0,"RED Entertainment, Artdink",E,AAA,2010s,False,below average,46.26865671641791,0.0,50.74626865671642,2.9850746268656714
The Sims 3,DS,2010.0,Simulation,Electronic Arts,0.38,0.22,0.0,0.06,0.67,73.0,9.0,6.4,20.0,Exient Entertainment,E,AAA,2010s,False,below average,56.71641791044776,32.83582089552239,0.0,8.955223880597014
Disney Tangled,Wii,2010.0,Action,Disney Interactive Studios,0.46,0.16,0.0,0.05,0.67,62.0,,,,,,Indie/Other,2010s,False,below average,68.65671641791045,23.88059701492537,0.0,7.462686567164178
Command & Conquer: Red Alert 3,PC,2008.0,Strategy,Electronic Arts,0.01,0.64,0.0,0.02,0.67,77.0,,,,,,AAA,2000s,False,below average,1.4925373134328357,95.52238805970148,0.0,2.9850746268656714
Zaidan Houjin Nippon Kanji Nouryoku Kentei Kyoukai Koushiki Soft: 200 Mannin no KanKen: Tokoton Kanji Nou,DS,2006.0,Misc,IE Institute,0.0,0.0,0.66,0.0,0.66,66.5,,,,,,Indie/Other,2000s,False,below average,0.0,0.0,100.0,0.0
Pro Pinball: Big Race USA,PS,1999.0,Simulation,Take-Two Interactive,0.37,0.25,0.0,0.04,0.66,69.0,4.0,tbd,,Cunning Developments,E,AAA,1990s,False,below average,56.060606060606055,37.878787878787875,0.0,6.0606060606060606
NFL Street,XB,2004.0,Sports,Electronic Arts,0.49,0.15,0.0,0.02,0.66,81.0,38.0,8.8,9.0,EA Tiburon,E,AAA,2000s,False,below average,74.24242424242425,22.727272727272727,0.0,3.0303030303030303
Final Fantasy Crystal Chronicles: Ring of Fates,DS,2007.0,Role-Playing,Square Enix,0.22,0.01,0.42,0.02,0.66,77.0,41.0,7.2,25.0,Square Enix,E10+,AAA,2000s,False,below average,33.33333333333333,1.5151515151515151,63.63636363636363,3.0303030303030303
Bakugan: Battle Brawlers,Wii,2009.0,Action,Activision,0.59,0.03,0.0,0.05,0.66,62.0,12.0,7.2,11.0,Now Production,E,AAA,2000s,False,below average,89.39393939393938,4.545454545454545,0.0,7.575757575757576
Blazing Angels: Squadrons of WWII,PS3,2006.0,Simulation,Ubisoft,0.35,0.22,0.0,0.1,0.66,67.0,26.0,6.9,9.0,Ubisoft,T,AAA,2000s,False,below average,53.03030303030303,33.33333333333333,0.0,15.151515151515152
WWE SmackDown vs. RAW 2007,PSP,2006.0,Fighting,THQ,0.33,0.2,0.0,0.14,0.66,78.0,13.0,8.1,21.0,Yuke's,T,AAA,2000s,False,below average,50.0,30.303030303030305,0.0,21.21212121212121
Skylanders: Trap Team,PS3,2014.0,Action,Activision,0.26,0.3,0.0,0.11,0.66,71.0,,7,5.0,Toys for Bob,E10+,AAA,2010s,False,below average,39.39393939393939,45.45454545454545,0.0,16.666666666666664
F1 2015,PS4,2015.0,Racing,Codemasters,0.09,0.45,0.03,0.1,0.66,65.0,46.0,6.3,43.0,Codemasters,E,Indie/Other,2010s,False,below average,13.636363636363635,68.18181818181817,4.545454545454545,15.151515151515152
Tony Hawk's Proving Ground,PS2,2007.0,Sports,Activision,0.55,0.02,0.0,0.09,0.66,65.0,6.0,6.6,17.0,Page 44 Studios,T,AAA,2000s,False,below average,83.33333333333334,3.0303030303030303,0.0,13.636363636363635
The Darkness,PS3,2007.0,Shooter,Take-Two Interactive,0.2,0.33,0.0,0.13,0.66,80.0,35.0,7.7,107.0,Starbreeze,M,AAA,2000s,False,below average,30.303030303030305,50.0,0.0,19.696969696969695
Country Dance,Wii,2011.0,Misc,Funbox Media,0.58,0.04,0.0,0.05,0.66,64.0,,tbd,,High Voltage Software,E10+,Indie/Other,2010s,False,below average,87.87878787878786,6.0606060606060606,0.0,7.575757575757576
MLB 2004,PS2,2003.0,Sports,Sony Computer Entertainment,0.32,0.25,0.0,0.08,0.66,61.0,21.0,7.9,9.0,989 Sports,E,AAA,2000s,False,below average,48.484848484848484,37.878787878787875,0.0,12.121212121212121
Naruto Shippuden: Ultimate Ninja 4,PS2,2007.0,Fighting,Atari,0.26,0.01,0.13,0.26,0.66,72.0,,,,,,Indie/Other,2000s,False,below average,39.39393939393939,1.5151515151515151,19.696969696969695,39.39393939393939
The Sims 3: High-End Loft Stuff,PC,2010.0,Simulation,Electronic Arts,0.01,0.54,0.0,0.11,0.66,75.0,,6.5,17.0,The Sims Studio,T,AAA,2010s,False,below average,1.5151515151515151,81.81818181818183,0.0,16.666666666666664
Tiger Woods PGA Tour 2000,PS,1998.0,Sports,Electronic Arts,0.37,0.25,0.0,0.04,0.66,73.0,,,,,,AAA,1990s,False,below average,56.060606060606055,37.878787878787875,0.0,6.0606060606060606
Darkstone,PS,2001.0,Role-Playing,Electronic Arts,0.37,0.25,0.0,0.04,0.66,58.0,10.0,8.3,12.0,Delphine Software International,T,AAA,2000s,False,below average,56.060606060606055,37.878787878787875,0.0,6.0606060606060606
NCAA March Madness 2003,PS2,2002.0,Sports,Electronic Arts,0.32,0.25,0.0,0.08,0.66,74.0,13.0,8,27.0,NuFX,E,AAA,2000s,False,below average,48.484848484848484,37.878787878787875,0.0,12.121212121212121
Diablo III,XOne,2014.0,Role-Playing,Activision,0.36,0.24,0.0,0.06,0.66,83.0,,,,,,AAA,2010s,False,below average,54.54545454545454,36.36363636363636,0.0,9.09090909090909
Finding Nemo,XB,2003.0,Action,THQ,0.48,0.16,0.0,0.02,0.66,63.0,11.0,tbd,,Traveller's Tales,E,AAA,2000s,False,below average,72.72727272727272,24.242424242424242,0.0,3.0303030303030303
